89.185.80.238:443#US美国 [2.17ms]
5.157.30.2:8443#IE爱尔兰 [129.44ms]
178.173.255.14:8443#NL荷兰 [129.47ms]
5.129.238.97:443#NL荷兰 [129.62ms]
5.181.134.74:443#NL荷兰 [129.63ms]
188.166.49.168:443#NL荷兰 [129.93ms]
194.87.221.78:443#NL荷兰 [129.96ms]
146.185.161.139:443#NL荷兰 [129.97ms]
80.64.17.209:443#NL荷兰 [129.99ms]
72.56.24.29:443#NL荷兰 [129.99ms]
188.166.17.204:2087#NL荷兰 [130.00ms]
152.70.254.197:443#KR韩国 [130.02ms]
188.226.136.91:8443#NL荷兰 [130.02ms]
159.65.195.213:443#NL荷兰 [130.05ms]
5.157.30.28:8443#IE爱尔兰 [130.18ms]
185.71.230.237:443#NZ新西兰 [130.46ms]
158.247.226.19:8443#KR韩国 [130.52ms]
212.47.238.35:443#DE德国 [131.98ms]
146.56.187.1:8443#KR韩国 [132.10ms]
64.176.226.26:8443#KR韩国 [132.28ms]
143.110.169.110:443#DE德国 [132.37ms]
3.68.31.54:443#DE德国 [133.00ms]
146.56.188.74:443#KR韩国 [133.03ms]
64.110.70.64:443#KR韩国 [133.04ms]
140.238.17.157:443#KR韩国 [133.09ms]
5.104.107.80:2053#DE德国 [133.10ms]
92.118.190.151:443#DE德国 [133.26ms]
172.105.68.51:443#DE德国 [133.28ms]
18.185.254.189:443#DE德国 [133.31ms]
194.233.167.235:443#DE德国 [133.31ms]
193.123.232.91:443#KR韩国 [133.33ms]
80.240.20.43:443#DE德国 [133.35ms]
164.92.137.46:2096#DE德国 [133.38ms]
192.46.237.135:443#DE德国 [133.41ms]
211.49.57.178:443#KR韩国 [133.42ms]
188.95.70.132:2053#DE德国 [133.44ms]
211.49.57.179:443#KR韩国 [133.58ms]
35.241.172.224:443#BE比利时 [133.62ms]
34.240.243.226:443#IE爱尔兰 [133.91ms]
64.176.12.48:443#CL智利 [135.68ms]
64.176.4.154:8443#CL智利 [136.28ms]
64.176.10.195:443#CL智利 [136.29ms]
64.176.15.110:2053#CL智利 [136.42ms]
104.155.124.198:443#BE比利时 [136.87ms]
195.242.118.15:443#VGVG [137.15ms]
78.105.182.216:443#TW中国台湾 [137.43ms]
64.176.11.9:8443#CL智利 [137.51ms]
195.242.118.18:443#VGVG [138.10ms]
185.195.69.64:443#CH瑞士 [138.14ms]
151.242.189.137:443#TW中国台湾 [138.49ms]
192.36.27.94:443#DK丹麦 [138.91ms]
64.176.9.170:8443#CL智利 [139.32ms]
132.243.245.62:443#AT奥地利 [139.73ms]
132.243.203.9:8443#AT奥地利 [139.73ms]
132.243.203.220:8443#AT奥地利 [139.77ms]
94.177.8.122:8443#AT奥地利 [139.83ms]
132.243.245.141:443#AT奥地利 [139.85ms]
132.243.203.219:8443#AT奥地利 [139.95ms]
132.243.203.207:8443#AT奥地利 [139.97ms]
132.243.245.215:443#AT奥地利 [139.98ms]
132.243.203.214:8443#AT奥地利 [139.98ms]
132.243.203.208:8443#AT奥地利 [140.00ms]
132.243.203.225:8443#AT奥地利 [140.00ms]
132.243.203.235:8443#AT奥地利 [140.00ms]
132.243.203.216:8443#AT奥地利 [140.02ms]
82.152.91.210:443#TW中国台湾 [140.15ms]
194.71.227.213:443#BE比利时 [140.27ms]
91.192.102.170:8443#CH瑞士 [140.85ms]
2.59.219.90:443#CH瑞士 [140.88ms]
79.132.141.125:443#CH瑞士 [140.92ms]
199.68.196.28:443#CH瑞士 [140.93ms]
37.9.171.189:443#SKSK [140.98ms]
185.195.69.72:443#CH瑞士 [140.99ms]
5.35.103.185:8443#SKSK [141.20ms]
85.4.221.234:443#CH瑞士 [141.25ms]
199.68.196.131:443#CH瑞士 [141.64ms]
194.246.118.199:443#CH瑞士 [141.67ms]
185.222.217.28:443#AU澳大利亚 [141.70ms]
91.245.225.79:8443#CH瑞士 [142.03ms]
89.127.196.14:443#CH瑞士 [142.13ms]
185.138.89.45:2053#PT葡萄牙 [142.15ms]
172.105.173.161:443#AU澳大利亚 [142.19ms]
45.32.191.198:443#AU澳大利亚 [142.20ms]
45.90.56.41:443#CH瑞士 [142.45ms]
170.64.232.210:443#AU澳大利亚 [142.46ms]
195.133.92.20:443#PT葡萄牙 [142.66ms]
170.64.245.159:443#AU澳大利亚 [142.72ms]
170.64.197.150:443#AU澳大利亚 [142.77ms]
170.64.229.30:443#AU澳大利亚 [142.78ms]
209.38.82.114:443#AU澳大利亚 [142.83ms]
89.125.200.144:2053#BE比利时 [142.86ms]
84.234.17.132:443#CH瑞士 [142.92ms]
193.124.56.100:2087#CZCZ [142.93ms]
91.184.250.182:443#CZCZ [142.94ms]
91.199.154.97:443#CZCZ [143.01ms]
209.38.23.235:443#AU澳大利亚 [143.10ms]
151.236.24.54:443#ISIS [143.11ms]
193.124.58.171:443#CZCZ [143.16ms]
170.64.237.192:443#AU澳大利亚 [143.19ms]
193.124.57.24:2053#CZCZ [143.22ms]
89.125.200.222:2096#BE比利时 [143.22ms]
178.208.75.153:443#CZCZ [143.26ms]
185.247.226.138:443#ISIS [143.28ms]
82.221.101.131:443#ISIS [143.32ms]
125.7.24.251:443#AU澳大利亚 [143.34ms]
91.199.147.230:8443#CZCZ [143.49ms]
46.29.235.56:443#DK丹麦 [143.53ms]
209.38.22.182:443#AU澳大利亚 [143.58ms]
178.208.91.177:443#CZCZ [143.65ms]
185.146.234.91:443#ISIS [143.84ms]
45.153.48.188:443#DK丹麦 [144.06ms]
89.28.236.192:443#DK丹麦 [144.11ms]
45.92.70.176:8443#IT意大利 [144.27ms]
132.243.237.53:443#CZCZ [144.53ms]
35.210.99.51:443#BE比利时 [144.63ms]
109.234.32.8:443#CZCZ [144.64ms]
188.190.26.243:443#BE比利时 [144.78ms]
70.34.212.154:8443#SE瑞典 [144.97ms]
220.135.92.105:2087#TW中国台湾 [145.33ms]
109.234.32.111:443#CZCZ [145.49ms]
91.199.160.188:443#CZCZ [145.50ms]
89.185.81.187:443#NO挪威 [145.59ms]
206.168.213.106:443#SE瑞典 [145.67ms]
46.29.238.21:443#NO挪威 [145.71ms]
195.72.61.22:443#SE瑞典 [145.72ms]
185.231.102.98:443#SE瑞典 [145.87ms]
194.5.98.17:443#NO挪威 [146.00ms]
91.242.163.179:2053#SKSK [146.03ms]
193.124.41.236:443#PL波兰 [146.52ms]
91.185.215.214:443#SISI [146.52ms]
37.252.9.236:443#SE瑞典 [146.91ms]
38.180.214.162:443#DK丹麦 [146.93ms]
88.218.3.90:443#DK丹麦 [146.97ms]
194.5.98.105:2053#NO挪威 [147.08ms]
45.153.48.132:443#DK丹麦 [147.18ms]
89.125.200.222:2053#BE比利时 [147.20ms]
138.124.242.57:443#PL波兰 [147.34ms]
85.155.230.26:8443#PL波兰 [147.44ms]
45.148.31.204:443#DK丹麦 [147.46ms]
83.219.250.141:443#SE瑞典 [147.48ms]
64.176.73.123:443#PL波兰 [147.51ms]
23.27.24.101:443#PL波兰 [147.55ms]
193.180.215.69:443#DK丹麦 [147.58ms]
2.59.163.33:443#PL波兰 [147.58ms]
81.27.101.164:443#PL波兰 [147.60ms]
144.31.102.181:443#PL波兰 [147.69ms]
95.85.254.137:443#PL波兰 [147.77ms]
103.68.110.188:443#PL波兰 [147.78ms]
45.198.0.157:443#PL波兰 [147.81ms]
178.17.59.32:8443#PL波兰 [147.83ms]
193.180.213.30:2087#DK丹麦 [147.84ms]
144.31.29.27:8443#PL波兰 [147.92ms]
193.181.213.198:443#DK丹麦 [148.03ms]
31.77.201.86:443#IT意大利 [148.03ms]
193.180.213.30:8443#DK丹麦 [148.29ms]
5.175.236.48:443#SE瑞典 [148.40ms]
94.242.58.5:2053#SE瑞典 [148.45ms]
129.151.198.3:8443#SE瑞典 [148.46ms]
176.125.240.186:2053#SE瑞典 [148.65ms]
195.137.245.244:8443#SE瑞典 [148.85ms]
31.77.201.26:443#IT意大利 [148.91ms]
83.229.6.134:443#IT意大利 [148.91ms]
62.182.193.10:8443#SE瑞典 [149.00ms]
193.84.2.214:8443#FI芬兰 [149.03ms]
223.165.4.57:443#TW中国台湾 [149.08ms]
82.118.16.161:443#IT意大利 [149.41ms]
37.221.210.113:443#HUHU [150.02ms]
172.238.238.203:2053#IT意大利 [150.17ms]
151.241.215.7:443#IT意大利 [150.18ms]
109.93.20.106:443#RSRS [150.26ms]
45.38.60.153:2053#HK中国香港 [150.67ms]
176.98.181.6:8443#HK中国香港 [150.96ms]
91.242.163.179:8443#SKSK [151.04ms]
193.124.4.43:443#SKSK [151.08ms]
202.50.55.54:443#NO挪威 [151.10ms]
38.180.225.181:443#HUHU [151.66ms]
45.196.235.225:443#HK中国香港 [151.82ms]
104.253.175.202:443#HK中国香港 [151.83ms]
185.17.2.103:8443#FI芬兰 [151.92ms]
23.133.52.10:2053#HK中国香港 [151.96ms]
132.243.22.221:443#FI芬兰 [152.01ms]
185.102.136.201:443#FI芬兰 [152.06ms]
91.103.123.165:8443#HK中国香港 [152.09ms]
108.165.155.200:8443#HK中国香港 [152.13ms]
46.243.6.117:443#FI芬兰 [152.17ms]
45.136.14.61:2053#HK中国香港 [152.23ms]
91.211.114.208:443#FI芬兰 [152.29ms]
219.76.13.183:443#HK中国香港 [152.29ms]
154.3.32.164:8443#HK中国香港 [152.34ms]
219.76.13.180:443#HK中国香港 [152.34ms]
103.85.112.97:2053#FI芬兰 [152.35ms]
156.226.169.179:443#HK中国香港 [152.43ms]
77.105.130.229:443#FI芬兰 [152.52ms]
216.238.110.198:8443#BR巴西 [152.55ms]
103.137.63.227:8443#TW中国台湾 [152.58ms]
132.243.24.196:443#FI芬兰 [152.70ms]
185.105.118.208:443#FI芬兰 [152.71ms]
13.140.17.30:8443#LVLV [152.71ms]
195.66.87.202:443#FI芬兰 [152.71ms]
169.40.0.30:443#LVLV [152.72ms]
95.81.93.80:443#FI芬兰 [152.74ms]
64.188.82.39:443#FI芬兰 [152.76ms]
216.238.116.196:8443#BR巴西 [152.81ms]
5.34.209.231:8443#LVLV [152.86ms]
185.105.108.43:443#RSRS [152.92ms]
216.173.68.98:8443#LVLV [153.09ms]
195.135.254.147:2053#LVLV [153.09ms]
46.32.187.78:443#LVLV [153.12ms]
195.135.253.121:443#LVLV [153.16ms]
216.173.71.221:8443#LVLV [153.17ms]
194.76.227.205:443#EEEE [153.17ms]
195.123.210.184:2053#LVLV [153.21ms]
185.92.183.193:8443#LVLV [153.22ms]
151.242.43.65:8443#LVLV [153.25ms]
46.8.236.51:8443#LVLV [153.29ms]
185.36.141.23:443#EEEE [153.56ms]
194.5.98.105:8443#NO挪威 [153.66ms]
38.180.225.166:443#HUHU [154.19ms]
94.177.160.180:443#IT意大利 [154.28ms]
31.76.113.157:443#IT意大利 [154.46ms]
104.152.48.205:8443#BGBG [154.71ms]
185.48.250.138:443#RSRS [154.88ms]
185.105.108.92:8443#RSRS [154.92ms]
179.255.190.9:443#IT意大利 [154.97ms]
172.232.212.218:443#IT意大利 [155.00ms]
91.219.236.202:8443#HUHU [155.12ms]
2.27.174.137:443#TW中国台湾 [155.16ms]
179.255.190.10:443#IT意大利 [155.17ms]
77.239.126.75:443#EEEE [155.27ms]
13.140.29.177:443#BGBG [155.29ms]
192.71.249.78:443#BE比利时 [155.38ms]
13.140.29.178:2053#BGBG [155.43ms]
104.152.48.177:443#BGBG [155.74ms]
91.92.136.69:443#BGBG [155.98ms]
45.137.201.143:443#BGBG [156.01ms]
193.239.160.89:443#BGBG [156.06ms]
91.92.136.216:2053#BGBG [156.06ms]
185.36.141.204:443#EEEE [156.09ms]
185.179.82.246:443#BYBY [156.17ms]
103.249.134.29:443#BGBG [156.20ms]
185.179.82.201:443#BYBY [156.32ms]
216.238.120.164:443#BR巴西 [156.42ms]
185.206.146.190:8443#BGBG [156.45ms]
185.141.61.113:2053#BGBG [156.46ms]
185.205.210.144:443#BGBG [156.55ms]
46.36.221.147:8443#EEEE [156.68ms]
193.37.212.56:2053#BGBG [156.76ms]
45.12.28.95:443#EEEE [156.77ms]
185.48.250.175:443#RSRS [156.87ms]
46.183.184.60:443#HRHR [156.91ms]
5.101.117.184:443#EEEE [156.92ms]
5.45.115.162:2083#EEEE [156.97ms]
46.36.219.229:8443#EEEE [157.03ms]
159.253.21.82:443#EEEE [157.11ms]
46.36.221.147:2053#EEEE [157.21ms]
5.45.116.230:443#EEEE [157.22ms]
195.238.126.11:443#LTLT [157.44ms]
195.54.170.66:8443#NO挪威 [157.56ms]
85.206.161.198:443#LTLT [158.28ms]
45.13.38.120:443#RORO [158.31ms]
5.183.188.18:8443#RU俄罗斯 [158.35ms]
5.101.50.226:443#RU俄罗斯 [158.39ms]
212.60.4.134:443#BYBY [158.53ms]
45.13.38.118:443#RORO [158.53ms]
188.246.226.106:8443#RU俄罗斯 [158.73ms]
45.13.38.36:2053#RORO [158.75ms]
85.120.228.76:443#RORO [158.82ms]
194.68.32.99:443#NO挪威 [158.82ms]
38.180.109.174:443#HUHU [158.86ms]
81.29.149.190:443#NO挪威 [158.86ms]
194.87.85.186:443#RSRS [158.92ms]
38.180.78.255:443#BR巴西 [158.93ms]
195.246.230.132:443#ISIS [159.17ms]
91.218.212.223:443#UA乌克兰 [159.20ms]
81.29.149.219:8443#NO挪威 [159.27ms]
180.149.37.38:8443#HUHU [159.45ms]
176.223.137.120:443#LTLT [159.45ms]
45.134.48.53:8443#RORO [159.47ms]
38.180.100.80:443#RSRS [159.69ms]
152.67.41.217:443#BR巴西 [159.74ms]
193.233.216.219:8443#RU俄罗斯 [159.78ms]
38.180.79.9:443#BR巴西 [160.06ms]
185.66.71.149:2053#BYBY [160.07ms]
212.192.23.56:443#LTLT [160.48ms]
147.45.116.9:443#BR巴西 [160.64ms]
132.226.163.224:8443#BR巴西 [160.75ms]
89.147.109.212:443#ISIS [160.80ms]
185.80.129.84:443#LTLT [160.85ms]
91.219.237.49:443#HUHU [160.94ms]
146.235.59.153:8443#BR巴西 [160.96ms]
89.147.111.223:2053#ISIS [161.17ms]
91.219.236.202:2053#HUHU [161.17ms]
195.246.230.125:443#ISIS [161.17ms]
185.218.0.67:443#RU俄罗斯 [161.29ms]
94.176.235.22:443#LTLT [161.32ms]
130.12.171.96:8443#LTLT [161.39ms]
185.154.192.95:443#RU俄罗斯 [161.66ms]
185.72.145.42:443#RU俄罗斯 [161.81ms]
185.185.71.23:8443#RU俄罗斯 [161.85ms]
185.39.30.18:8443#RORO [161.89ms]
185.247.185.103:443#RU俄罗斯 [162.17ms]
47.83.139.13:8443#CN中国 [162.21ms]
130.12.171.173:443#LTLT [162.39ms]
185.84.162.74:443#RU俄罗斯 [162.68ms]
90.156.211.232:8443#RU俄罗斯 [162.70ms]
89.46.236.145:443#RSRS [162.82ms]
83.147.255.84:443#RU俄罗斯 [162.82ms]
103.215.218.43:2087#TR土耳其 [162.92ms]
103.215.218.43:2096#TR土耳其 [163.13ms]
185.80.128.115:8443#LTLT [163.17ms]
83.217.9.81:443#TR土耳其 [163.37ms]
132.226.163.224:2053#BR巴西 [163.39ms]
81.181.166.197:443#RORO [163.42ms]
89.125.248.243:443#LTLT [163.48ms]
5.188.30.178:443#RU俄罗斯 [163.49ms]
130.94.1.150:443#TR土耳其 [163.78ms]
185.219.132.27:443#TR土耳其 [163.87ms]
46.183.185.37:443#MKMK [163.92ms]
185.71.219.109:443#TR土耳其 [163.97ms]
130.12.171.63:443#LTLT [164.23ms]
213.252.245.30:443#LTLT [164.34ms]
31.210.43.105:2083#TR土耳其 [164.48ms]
103.118.42.136:8443#TW中国台湾 [164.81ms]
38.133.142.152:443#RORO [164.87ms]
188.132.232.192:8443#TR土耳其 [165.38ms]
185.165.169.157:443#RORO [165.55ms]
188.132.232.192:2053#TR土耳其 [165.56ms]
45.11.181.161:443#RORO [165.70ms]
31.57.225.204:2053#TR土耳其 [166.02ms]
167.104.219.129:2053#TR土耳其 [166.24ms]
91.238.105.102:443#UA乌克兰 [166.50ms]
104.239.87.51:443#TR土耳其 [166.54ms]
193.187.132.23:2087#TR土耳其 [166.61ms]
196.245.161.74:443#RORO [166.90ms]
80.71.159.199:8443#BYBY [166.96ms]
87.121.38.57:443#RSRS [167.30ms]
38.180.108.148:443#HUHU [167.66ms]
37.221.66.2:443#MDMD [168.41ms]
74.119.193.244:8443#CN中国 [168.46ms]
82.117.255.140:443#RORO [168.48ms]
194.247.182.120:8443#ISIS [168.84ms]
141.105.130.102:443#UA乌克兰 [168.88ms]
185.226.65.37:443#GRGR [170.60ms]
91.229.239.172:443#MDMD [170.65ms]
159.253.120.204:443#MDMD [171.20ms]
185.75.243.102:443#ALAL [172.02ms]
91.250.248.68:443#GRGR [172.44ms]
91.250.248.151:443#GRGR [172.54ms]
185.216.68.218:8443#MDMD [172.83ms]
194.56.225.65:2053#SG新加坡 [172.94ms]
172.104.186.18:8443#SG新加坡 [173.26ms]
139.162.62.195:443#SG新加坡 [173.38ms]
91.208.206.179:443#MDMD [173.47ms]
116.251.217.65:443#SG新加坡 [173.64ms]
141.11.43.55:443#SG新加坡 [173.69ms]
116.251.216.23:8443#SG新加坡 [173.93ms]
195.162.68.79:443#ISIS [174.14ms]
104.64.206.111:8443#SG新加坡 [174.15ms]
139.162.23.48:443#SG新加坡 [174.73ms]
116.251.217.107:443#SG新加坡 [174.82ms]
151.236.29.97:443#GRGR [174.84ms]
174.138.24.153:443#SG新加坡 [174.92ms]
193.201.15.39:443#CYCY [175.03ms]
61.245.10.8:443#PH菲律宾 [175.05ms]
159.223.93.80:443#SG新加坡 [175.24ms]
46.250.231.61:443#SG新加坡 [175.46ms]
54.251.249.94:8443#SG新加坡 [175.51ms]
94.103.188.145:443#MDMD [177.02ms]
193.36.38.222:443#MDMD [177.19ms]
94.103.188.189:443#MDMD [177.19ms]
91.199.133.184:443#MDMD [177.48ms]
147.78.3.96:443#UA乌克兰 [177.62ms]
213.111.148.137:443#UA乌克兰 [177.65ms]
38.54.59.70:443#EG埃及 [178.56ms]
149.118.131.245:443#MY马来西亚 [178.90ms]
89.125.202.220:443#GRGR [179.52ms]
45.86.86.195:443#MDMD [179.52ms]
85.120.252.211:443#MDMD [179.93ms]
163.61.103.239:443#MY马来西亚 [180.17ms]
61.245.11.45:443#PH菲律宾 [180.40ms]
85.121.5.147:443#MDMD [180.48ms]
149.118.156.142:443#MY马来西亚 [180.63ms]
56.68.80.78:443#MY马来西亚 [180.73ms]
191.44.32.253:443#BR巴西 [180.83ms]
193.169.228.116:443#ILIL [181.15ms]
216.173.67.119:443#MY马来西亚 [182.51ms]
47.250.81.46:2087#MY马来西亚 [183.37ms]
205.186.64.123:443#MY马来西亚 [183.48ms]
47.250.212.59:2053#MY马来西亚 [183.88ms]
168.110.201.254:443#ID印度尼西亚 [184.14ms]
47.250.212.59:443#MY马来西亚 [184.20ms]
77.91.69.141:2053#ILIL [185.42ms]
77.91.69.141:8443#ILIL [185.56ms]
88.218.64.65:443#BYBY [185.71ms]
80.178.58.56:443#ILIL [186.27ms]
23.27.240.125:443#MY马来西亚 [187.62ms]
23.27.240.158:443#MY马来西亚 [188.27ms]
210.1.231.14:443#MY马来西亚 [189.41ms]
38.54.29.210:2053#GRGR [189.79ms]
185.239.48.32:443#ILIL [191.13ms]
156.244.1.250:8443#ID印度尼西亚 [191.41ms]
43.218.77.16:443#ID印度尼西亚 [191.82ms]
103.178.153.198:443#ID印度尼西亚 [191.99ms]
64.177.68.51:443#ILIL [192.24ms]
77.91.68.239:443#AMAM [192.83ms]
91.195.254.34:443#AMAM [193.34ms]
45.150.108.59:443#ILIL [194.33ms]
43.255.243.193:443#TH泰国 [196.26ms]
43.229.79.116:443#TH泰国 [196.41ms]
45.150.128.216:443#TH泰国 [196.43ms]
103.114.203.153:443#TH泰国 [196.49ms]
43.229.148.110:443#TH泰国 [196.51ms]
43.249.32.13:443#TH泰国 [196.54ms]
157.85.110.216:443#TH泰国 [196.57ms]
157.85.101.165:443#TH泰国 [196.67ms]
147.139.189.225:443#ID印度尼西亚 [196.68ms]
43.229.150.17:443#TH泰国 [196.74ms]
45.136.254.175:443#TH泰国 [196.74ms]
192.71.27.237:443#ILIL [196.78ms]
157.85.96.43:443#TH泰国 [196.81ms]
45.154.24.89:443#TH泰国 [196.82ms]
157.254.192.20:443#TH泰国 [196.83ms]
80.75.215.130:8443#GEGE [197.12ms]
2.56.206.114:2053#AMAM [197.60ms]
2.56.206.114:8443#AMAM [199.45ms]
180.149.44.124:8443#AZAZ [201.05ms]
213.159.76.202:2053#AMAM [201.45ms]
180.149.45.58:443#AZAZ [201.56ms]
80.75.215.175:8443#GEGE [201.96ms]
213.155.22.139:443#KZKZ [202.28ms]
2.56.204.183:443#AMAM [202.46ms]
213.155.22.246:443#KZKZ [203.17ms]
213.155.22.123:443#KZKZ [205.13ms]
206.53.48.65:443#GEGE [205.19ms]
94.131.92.95:443#KZKZ [205.33ms]
194.55.164.118:443#CYCY [205.66ms]
46.8.176.120:443#UZUZ [207.85ms]
123.58.199.241:443#VN越南 [208.15ms]
185.205.187.139:443#CYCY [209.35ms]
38.54.81.111:443#PH菲律宾 [211.59ms]
95.139.91.132:443#BE比利时 [214.22ms]
45.129.185.230:443#AMAM [215.70ms]
91.212.166.36:443#KZKZ [216.87ms]
38.54.4.209:443#KH柬埔寨 [217.13ms]
46.247.43.159:443#KZKZ [217.49ms]
78.40.109.252:443#KZKZ [218.07ms]
170.168.102.178:443#AMAM [218.43ms]
83.222.22.61:2053#KZKZ [219.44ms]
92.118.115.22:2053#KZKZ [219.71ms]
213.159.76.202:8443#AMAM [220.88ms]
156.244.43.22:443#QAQA [221.11ms]
213.155.29.228:443#KZKZ [221.44ms]
91.200.148.120:443#KZKZ [221.45ms]
176.97.192.162:443#NG尼日利亚 [221.76ms]
2.56.177.215:443#KZKZ [221.97ms]
2.135.146.15:443#KZKZ [222.70ms]
172.236.187.52:443#IN印度 [223.93ms]
45.89.105.211:443#IN印度 [224.42ms]
103.15.91.219:443#VN越南 [224.68ms]
169.255.57.210:443#NG尼日利亚 [225.19ms]
103.111.114.87:443#IN印度 [225.92ms]
20.235.220.189:443#IN印度 [226.32ms]
4.240.110.47:443#IN印度 [226.45ms]
38.54.42.124:443#BDBD [226.71ms]
129.154.251.30:8443#IN印度 [226.75ms]
65.20.85.14:443#IN印度 [227.10ms]
216.10.243.159:443#IN印度 [227.10ms]
93.85.88.60:2053#BYBY [227.49ms]
157.22.128.7:443#UZUZ [227.60ms]
157.20.27.35:443#IN印度 [227.77ms]
103.199.18.23:443#VN越南 [228.07ms]
98.70.26.236:443#IN印度 [229.06ms]
52.66.200.252:443#IN印度 [229.54ms]
129.154.251.30:443#IN印度 [229.57ms]
130.94.58.215:443#SA沙特 [229.63ms]
